"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Wonen/Gemiddelde woningwaarde (x 1 000 euro)";"Wonen/Woningen naar bouwjaar/Bouwjaar voor 2000 (%)";"Wonen/Woningen naar bouwjaar/Bouwjaar vanaf 2000 (%)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)"
"Da Costabuurt";"    4655";"     515";"     480";"    2065";"    1105";"     505";"    2950";"    1840";"     630";"     490";"     267";"     100";"       0";"    32.2"
"Kinkerbuurt";"    6195";"     610";"     735";"    2940";"    1480";"     440";"    4240";"    2955";"     730";"     565";"     214";"      98";"       2";"    26.5"
"Van Lennepbuurt";"    7130";"     730";"     770";"    2970";"    1840";"     820";"    4620";"    3075";"     830";"     720";"     211";"      99";"       1";"    25.9"
"Helmersbuurt";"    7520";"    1035";"     835";"    3115";"    1850";"     695";"    4565";"    2815";"     925";"     835";"     310";"      98";"       2";"    36.6"
"Overtoomse Sluis";"    7740";"     930";"     760";"    3780";"    1690";"     590";"    4745";"    2890";"    1050";"     815";"     268";"     100";"       0";"    35.5"
"Vondelbuurt";"    1895";"     270";"     205";"     600";"     505";"     320";"    1095";"     680";"     210";"     215";"     591";"     100";"       0";"    53.9"
"Sloterdijk";"     395";"      25";"      40";"     275";"      40";"      25";"     240";"     115";"     105";"      25";"     286";"      18";"      82";"    40.4"
"Landlust";"   18735";"    3030";"    2475";"    8075";"    3735";"    1420";"   10220";"    5630";"    2105";"    2495";"     165";"      97";"       3";"    21.3"
"Erasmuspark";"    5895";"     830";"     735";"    2930";"     990";"     420";"    3385";"    1875";"     840";"     685";"     171";"      92";"       8";"    25.5"
"De Kolenkit";"    9215";"    1770";"    1770";"    3365";"    1580";"     740";"    4425";"    2300";"     795";"    1340";"     166";"      65";"      35";"    16.7"
"De Krommert";"   12980";"    1865";"    1665";"    5865";"    2560";"    1035";"    7470";"    4240";"    1605";"    1635";"     210";"      95";"       5";"    26.2"
"Van Galenbuurt";"    6720";"     830";"     815";"    3115";"    1490";"     475";"    4435";"    3030";"     720";"     690";"     175";"     100";"       0";"    20.6"
"Hoofdweg en omgeving";"   10435";"    1535";"    1145";"    4730";"    2115";"     920";"    6105";"    3585";"    1270";"    1255";"     171";"      98";"       2";"    23.5"
"Westindische buurt";"    6785";"     860";"     830";"    3255";"    1290";"     565";"    4090";"    2360";"     965";"     770";"     219";"     100";"       0";"    29.9"
"Stadsdeel Nieuw-West";"  146575";"   26995";"   21660";"   44850";"   34505";"   18575";"   69045";"   32025";"   14080";"   22945";"     180";"      81";"      19";"    20.7"
"Spieringhorn";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       5";"       0";"       0";"       .";"       .";"       .";"       ."
"Slotermeer-Noordoost";"    9455";"    1935";"    1280";"    3285";"    2060";"     900";"    4580";"    2280";"     785";"    1520";"     135";"     100";"       0";"    16.8"
"Slotermeer-Zuidwest";"   17000";"    3255";"    2450";"    5380";"    3920";"    2000";"    8240";"    4190";"    1465";"    2595";"     142";"      94";"       6";"    17.0"
"Geuzenveld";"   15030";"    3310";"    2160";"    4920";"    3045";"    1610";"    6460";"    2725";"    1250";"    2495";"     158";"      66";"      34";"    16.8"
"Eendracht";"    2325";"     340";"     335";"     545";"     775";"     340";"     995";"     305";"     300";"     400";"     228";"     100";"       0";"    23.2"
"Lutkemeer en Ookmeer";"     845";"     140";"     105";"     195";"     290";"     125";"     360";"     105";"     110";"     150";"     319";"      77";"      23";"    25.3"
"Osdorp-Oost";"   15740";"    2420";"    2030";"    4500";"    3520";"    3280";"    8400";"    4495";"    1795";"    2120";"     158";"      83";"      17";"    20.8"
